,Unnamed: 0,compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD,band_g
6370,6370,SnSr,63,<i>Cmcm</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[106073, 106074, 652721]",
6371,6371,SnSr2,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[106075, 652722]",
6372,6372,SnTa3,223,<i>Pm</i>-3<i>n</i>,SM,ESFD,Point,[],[106076],
6373,6373,SnTe,216,<i>F</i>-43<i>m</i>,trivial,LCEBR,None,[],[53956],0.24029999999999996
6374,6374,SnTe,221,<i>Pm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 5, 'name': 'z4mpi', 'htmlName': 'Z<sub>4&pi;</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 7}]","[52488, 604129]",0.0
6375,6375,SnTe,225,<i>Fm</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 4}]","[52489, 600136, 600865, 601065, 604177, 652741, 652742, 652744, 652745, 652749, 652750, 652751, 652752, 652753, 652754, 652755, 652756, 652759, 652760, 652761, 652763]",0.04279999999999973
6376,6376,SnTe,62,<i>Pnma</i>,trivial,LCEBR,None,[],[652743],
6377,6377,SnTi2,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 6}]","[106086, 182428]",
6378,6378,SnTi3,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 5}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 5}]","[182427, 652780]",
6379,6379,SnTi3,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[150657, 189762]",
6380,6380,SnTi3,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[106087],
6381,6381,SnTi3,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[189761],
6382,6382,SnYb,123,<i>P</i>4/<i>mmm</i>,SM,ES,Line,[],[106104],
6383,6383,SnYb2,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 1}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 7}]",[106105],
6384,6384,SnZr3,223,<i>Pm</i>-3<i>n</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]",[106108],
6385,6385,Sn2Ta,70,<i>Fddd</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]",[106077],
6386,6386,Sn2Tb,63,<i>Cmcm</i>,SM,ESFD,Point,[],"[168671, 168672, 168673]",
6387,6387,Sn2Th,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[652772],
6388,6388,Sn2Tm,63,<i>Cmcm</i>,SM,ESFD,Point,[],"[168683, 168684, 168685, 652806]",
6389,6389,Sn2Zr,70,<i>Fddd</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]",[652857],
6390,6390,Sn3Sr,166,<i>R</i>-3<i>m</i>,TI,SEBR,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[410956],
6391,6391,Sn3Sr5,140,<i>I</i>4/<i>mcm</i>,TI,NLC,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 5}]","[1203, 652723]",
6392,6392,Sn3Tb,38,<i>Amm</i>2,trivial,LCEBR,None,[],[602880],
6393,6393,Sn3Th,221,<i>Pm</i>-3<i>m</i>,SM,ES,Line,[],"[106082, 106083, 652770, 652775]",
6394,6394,Sn3Th5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ES,Line,[],"[106084, 652771]",
6395,6395,Sn3Ti2,64,<i>Cmce</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[410902, 411192]",
6396,6396,Sn3Ti5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 1}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 1}]","[109292, 652783, 652785]",
6397,6397,Sn3Yb,221,<i>Pm</i>-3<i>m</i>,SM,ES,Line,[],"[106106, 652843, 652844]",
6398,6398,Sn3Zr5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,TI,SEBR,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 7, 'name': 'z6m0', 'htmlName': 'Z<sub>6m0</sub>', 'nbrValues': 6, 'value': 1}, {'id': 11, 'name': 'z12prime', 'htmlName': ""Z<sub>12</sub>'"", 'nbrValues': 12, 'value': 1}]","[150562, 652854, 656306]",
6399,6399,Sn4Sr,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[54756, 281669]",
6400,6400,Sn4Th5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ES,Line,[],[106085],
6401,6401,Sn4Zr5,193,<i>P</i>6<sub>3</sub>/<i>mcm</i>,SM,ES,Line,[],"[107311, 652856]",
6402,6402,Sn5Sr3,63,<i>Cmcm</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[411981],
6403,6403,Sn5Ti6,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],"[652793, 660295]",
6404,6404,Sn5Ti6,71,<i>Immm</i>,trivial,LCEBR,None,[],[106089],
6405,6405,SrTe,221,<i>Pm</i>-3<i>m</i>,SM,ES,Line,[],[52491],0.5679999999999996
6406,6406,SrTe,225,<i>Fm</i>-3<i>m</i>,trivial,LCEBR,None,[],"[53950, 602931, 652879]",1.7735999999999996
6407,6407,SrTl,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[106110, 652886]",0.0
6408,6408,SrTl2,194,<i>P</i>6<sub>3</sub>/<i>mmc</i>,SM,ES,Line,[],[106111],0.0
6409,6409,SrZn,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[54980, 652893]",0.0
6410,6410,SrZn2,74,<i>Imma</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]","[106113, 652892]",0.0
6411,6411,SrZn5,191,<i>P</i>6/<i>mmm</i>,SM,ES,Line,[],"[106114, 418615]",0.0
6412,6412,SrZn5,62,<i>Pnma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}]","[106115, 418619, 652894]",0.0
6413,6413,Sr3Tl5,63,<i>Cmcm</i>,SM,ESFD,Point,[],"[380325, 422877]",
6414,6414,Sr5Tl3,140,<i>I</i>4/<i>mcm</i>,SM,ESFD,Point,[],[652883],
6415,6415,TaTc,221,<i>Pm</i>-3<i>m</i>,SM,ES,Line,[],[106117],0.0
6416,6416,TaTe2,12,<i>C</i>2/<i>m</i>,SM,ESFD,Point,[],"[14390, 155325, 155326, 652911]",0.0
