compoundName,symmetryGroupNumber,symmetryGroupNameHTML,topologicalClassificationShortDescription,topologicalSubClassificationShortDescription,smCrossingType,topologicalIndices,similarICSD
Ag1 Pt3,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[58347]
Ag1 Sc1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],[58348]
Ag1 Se1,216,<i>F</i>-43<i>m</i>,SM,ESFD,Point,[],"[52601, 605802]"
Ag1 Sr1,62,<i>Pnma</i>,trivial,LCEBR,None,[],"[58358, 605875]"
Ag1 Tb1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[58363, 196542, 605890, 605891, 605894, 605895]"
Ag1 Te1,62,<i>Pnma</i>,trivial,LCEBR,None,[],[55237]
Ag1 Th2,140,<i>I</i>4/<i>mcm</i>,SM,ESFD,Point,[],"[58367, 150643, 605924, 605927]"
Ag1 Ti1,123,<i>P</i>4/<i>mmm</i>,SM,ESFD,Point,[],"[58369, 605937]"
Ag1 Ti1,129,<i>P</i>4/<i>nmm</i>,SM,ESFD,Point,[],"[605930, 605934]"
Ag1 Ti2,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],"[605931, 605935, 605939]"
Ag1 Ti3,123,<i>P</i>4/<i>mmm</i>,SM,ESFD,Point,[],[58370]
Ag1 Tm1,221,<i>Pm</i>-3<i>m</i>,SM,ES,Line,[],"[58372, 605946, 605952]"
Ag1 Yb1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[58378, 605965]"
Ag1 Yb1,62,<i>Pnma</i>,SM,ES,Plane,[],[605970]
Ag1 Zn1,221,<i>Pm</i>-3<i>m</i>,SM,ESFD,Point,[],"[58384, 150570, 605988]"
Ag1 Zr1,129,<i>P</i>4/<i>nmm</i>,SM,ESFD,Point,[],"[58390, 605996]"
Ag1 Zr2,139,<i>I</i>4/<i>mmm</i>,SM,ESFD,Point,[],"[58391, 605999]"
Ag1 Zr3,123,<i>P</i>4/<i>mmm</i>,SM,ESFD,Point,[],[58392]
Ag2 Ba1,74,<i>Imma</i>,trivial,LCEBR,None,[],"[57343, 240052]"
Ag2 Ca1,74,<i>Imma</i>,TI,NLC,None,"[{'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 3}]","[57354, 417225]"
Ag2 Ce1,74,<i>Imma</i>,TI,NLC,None,"[{'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 2}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}]",[604938]
Ag2 Dy1,139,<i>I</i>4/<i>mmm</i>,SM,ES,Line,[],[57380]
Ag2 Er1,139,<i>I</i>4/<i>mmm</i>,TI,SEBR,None,"[{'id': 1, 'name': 'z2', 'htmlName': 'Z<sub>2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 2, 'name': 'z2w,3', 'htmlName': 'Z<sub>2w,3</sub>', 'nbrValues': 2, 'value': 1}, {'id': 4, 'name': 'z4', 'htmlName': 'Z<sub>4</sub>', 'nbrValues': 4, 'value': 1}, {'id': 8, 'name': 'z2w,1', 'htmlName': 'Z<sub>2w,1</sub>', 'nbrValues': 2, 'value': 1}, {'id': 9, 'name': 'z2w,2', 'htmlName': 'Z<sub>2w,2</sub>', 'nbrValues': 2, 'value': 1}, {'id': 13, 'name': 'z8', 'htmlName': 'Z<sub>8</sub>', 'nbrValues': 8, 'value': 1}]","[58252, 605091, 605097]"
